10000	67958	390313
20000	133705	429913
30000	199661	826881
40000	272437	883817
50000	338272	1082059
60000	414106	1496297
70000	509784	1537976
80000	580052	1915001
90000	880583	15808276
100000	922163	2598673
200000	2874146	4844961
300000	5082011	6869863
400000	6547167	10013278
500000	7235415	9718775
600000	15060573	8740358
700000	8813156	10339263
900000	11003080	11533698
1000000	20022189	12948342
2000000	18468681	28298116
3000000	26389275	37578156
4000000	34908269	50224053
5000000	43815794	62613188
6000000	53457074	75216053
7000000	60798540	93697736
9000000	76205635	125309327
10000000	82704941	137295125
20000000	165021098	263867549
30000000	252370327	389126100
40000000	328180061	512059603
50000000	415969136	637113950
60000000	494052328	759066814
70000000	571436316	884575725
90000000	735558230	1144414502
